,0path-afl,0path-aflfun,0path-aflfun_only_cp,0path-aflfun_only_fd,1crash-afl,1crash-aflfun,1crash-aflfun_only_cp,1crash-aflfun_only_fd,2exec-afl,2exec-aflfun,2exec-aflfun_only_cp,2exec-aflfun_only_fd
xmllint,4891.9,4362.8,4158.1,4284.1,0.0,103.9,87.6,109.6,67093356.441,58939161.704,58419285.751,58057328.901999995
swftophp,8110.7,3983.3,4079.3,3954.2,697.0,564.5,576.9,559.9,134827160.879,63705696.217,68345280.957,68629943.49499999
mjs,4570.7,2882.0,2899.5,2886.4,109.9,243.7,245.9,234.2,106239001.087,81868110.84400001,90740328.269,91313953.99
jasper,1662.3,959.7,949.1,916.9,0.0,38.5,38.1,37.6,71156884.634,63093021.94800001,63747393.30800001,60871263.87200001
imginfo,1776.5,965.2,1028.1,1025.6,0.0,53.0,58.0,70.3,43763862.16500001,58353201.113,59506529.79900001,66955194.999
tiff2bw,2712.4,1713.5,1858.5,1826.8,0.0,3.4,6.1,3.5,95408134.322,67897793.48699999,80651943.778,73900111.028
tiff2pdf,4572.7,2902.7,2979.2,2803.3,0.0,93.0,90.1,85.8,65440283.761999995,61004460.116000004,59045570.647,53198093.672
tiffsplit,2429.1,1687.9,1524.5,1692.0,0.0,1.2,2.9,0.9,64683006.002000004,63268353.965,49329775.51900001,63010146.537
mujs,3893.9,4206.5,4156.1,4119.8,0.0,2.8,3.3,2.8,52433826.71799999,55131540.298,54683140.89200001,53059282.362
pdfimages,220.4,152.9,156.4,165.8,0.0,1.1,3.9,1.8,19292590.353,15980873.048,17842916.611,16976559.459999997
